101,3000.000000,1.100000,4.400000,1.900000
102,2600.000000,2.000000,4.200000,1.800000
103,1300.000000,1.400000,1.600000,1.600000
104,1230.000000,1.400000,3.800000,1.700000
105,1500.000000,1.500000,2.300000,1.900000
106,1675.000000,1.800000,4.900000,1.800000
107,1850.000000,1.700000,4.500000,1.800000
108,2600.000000,1.700000,4.100000,1.400000
109,1470.000000,1.200000,4.200000,1.800000
110,1300.000000,1.700000,2.600000,1.900000
111,1300.000000,1.500000,2.500000,1.700000
112,1600.000000,1.500000,2.300000,1.600000
113,1660.000000,1.400000,2.500000,1.900000
114,2500.000000,1.900000,4.200000,2.000000
115,1200.000000,1.500000,2.300000,1.700000
116,3000.000000,1.100000,4.400000,1.900000
117,1470.000000,1.200000,4.200000,1.800000
118,1300.000000,1.700000,2.600000,1.900000
119,1300.000000,1.500000,2.500000,1.700000
120,1600.000000,1.500000,2.300000,1.600000
